;año,mes,Ojos de Agua,Cipreses,Isla,Colbún,Machicura,San Ignacio,Pehuenche,Curillinque,Loma Alta
2008,10,,36.38,93.49,381.59,0.00,228.04,560.42,104.96,113.84
2008,11,,34.78,92.68,313.57,0.00,187.55,592.66,82.06,88.04
2008,12,,48.42,99.40,211.42,0.00,90.31,369.24,109.34,118.32
2009,1,,52.42,98.92,228.35,0.00,108.77,302.64,111.58,121.16
2009,2,,49.03,92.46,129.75,0.00,40.32,244.23,105.31,114.84
2009,3,,54.67,100.40,107.73,0.00,35.82,218.66,110.24,119.81
2009,4,,33.66,78.02,126.39,0.00,65.03,172.07,86.49,91.14
2009,5,,23.63,69.17,311.14,0.00,224.81,266.82,75.54,76.00
2009,6,,20.43,49.63,205.76,0.00,175.66,281.42,52.64,39.24
2009,7,,23.51,72.05,294.70,0.00,227.52,385.03,65.71,85.14
2009,8,,14.69,70.42,191.44,0.00,142.57,395.75,80.74,91.56
2009,9,,23.07,65.13,278.20,0.00,190.25,431.89,85.16,102.92
2009,10,,26.56,50.44,297.45,0.00,185.45,509.31,99.04,118.09
2009,11,,22.33,48.64,289.59,0.00,162.21,533.90,92.43,98.39
2009,12,,35.59,82.55,292.11,0.00,143.23,611.82,88.89,93.91
2010,1,,,,,,,,,0
2010,2,,,,,,,,,0
2010,3,,,,,,,,,0
2010,4,,,,,,,,,0
2010,5,,,,,,,,,0
2010,6,,,,,,,,,0
2010,7,,,,,,,,,0
2010,8,,,,,,,,,0
2010,9,,,,,,,,,0
2010,10,,,,,,,,,0
2010,11,,,,,,,,,0
2010,12,,,,,,,,,0
2011,1,,,,,,,,,0
2011,2,,,,,,,,,0
2011,3,,,,,,,,,0
2011,4,,,,,,,,,0
2011,5,,,,,,,,,0
2011,6,,,,,,,,,0
2011,7,,,,,,,,,0
2011,8,,,,,,,,,0
2011,9,,,,,,,,,0
2011,10,,,,,,,,,0
2011,11,,,,,,,,,0
2011,12,,,,,,,,,0
